<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.01.03	00:00:00	1.13693	1.13742	1.13645	1.13726	571	0	17
2022.01.03	01:00:00	1.13725	1.13778	1.13687	1.13728	1345	0	7
2022.01.03	02:00:00	1.13728	1.13759	1.13608	1.13622	1054	0	0
2022.01.03	03:00:00	1.13622	1.13654	1.13497	1.13588	1349	0	0
2022.01.03	04:00:00	1.13588	1.13589	1.13422	1.13427	1091	0	0
2022.01.03	05:00:00	1.13430	1.13500	1.13413	1.13482	807	0	0
2022.01.03	06:00:00	1.13483	1.13490	1.13387	1.13406	669	0	0
2022.01.03	07:00:00	1.13406	1.13414	1.13360	1.13380	658	0	0
2022.01.03	08:00:00	1.13380	1.13465	1.13379	1.13430	877	0	0
2022.01.03	09:00:00	1.13431	1.13501	1.13349	1.13480	1948	0	0
2022.01.03	10:00:00	1.13479	1.13479	1.13352	1.13468	3299	0	0
2022.01.03	11:00:00	1.13466	1.13567	1.13355	1.13518	2983	0	0
2022.01.03	12:00:00	1.13518	1.13598	1.13505	1.13551	2224	0	0
2022.01.03	13:00:00	1.13555	1.13661	1.13515	1.13557	2812	0	0
2022.01.03	14:00:00	1.13558	1.13595	1.13471	1.13585	3216	0	0
2022.01.03	15:00:00	1.13585	1.13640	1.13456	1.13504	4771	0	0
2022.01.03	16:00:00	1.13504	1.13519	1.13000	1.13062	5699	0	0
2022.01.03	17:00:00	1.13066	1.13094	1.12904	1.12918	6079	0	0
2022.01.03	18:00:00	1.12919	1.12988	1.12830	1.12888	4771	0	0
2022.01.03	19:00:00	1.12888	1.12902	1.12795	1.12837	2245	0	0
2022.01.03	20:00:00	1.12837	1.12969	1.12829	1.12948	1431	0	0
2022.01.03	21:00:00	1.12948	1.12995	1.12936	1.12970	1593	0	0
2022.01.03	22:00:00	1.12967	1.13003	1.12938	1.12963	1749	0	0
2022.01.03	23:00:00	1.12963	1.12989	1.12941	1.12971	572	0	1
2022.01.04	00:00:00	1.12961	1.12961	1.12920	1.12938	3021	0	13
2022.01.04	01:00:00	1.12940	1.13017	1.12940	1.13016	1083	0	7
2022.01.04	02:00:00	1.13016	1.13068	1.13011	1.13055	1058	0	0
2022.01.04	03:00:00	1.13054	1.13090	1.13017	1.13066	1254	0	0
2022.01.04	04:00:00	1.13066	1.13094	1.12998	1.13023	1172	0	0
2022.01.04	05:00:00	1.13023	1.13044	1.12948	1.12978	1292	0	0
2022.01.04	06:00:00	1.12977	1.13058	1.12961	1.13007	954	0	0
2022.01.04	07:00:00	1.13007	1.13058	1.13005	1.13049	858	0	0
2022.01.04	08:00:00	1.13049	1.13073	1.12921	1.12932	1347	0	0
2022.01.04	09:00:00	1.12932	1.12944	1.12833	1.12917	2780	0	0
2022.01.04	10:00:00	1.12917	1.13001	1.12875	1.12893	4165	0	0
2022.01.04	11:00:00	1.12897	1.13081	1.12830	1.13022	3623	0	0
2022.01.04	12:00:00	1.13022	1.13057	1.12946	1.12948	2787	0	0
2022.01.04	13:00:00	1.12949	1.12966	1.12758	1.12761	3777	0	0
2022.01.04	14:00:00	1.12758	1.12835	1.12723	1.12729	4164	0	0
2022.01.04	15:00:00	1.12729	1.12898	1.12729	1.12801	3942	0	0
2022.01.04	16:00:00	1.12800	1.12882	1.12777	1.12846	4301	0	0
2022.01.04	17:00:00	1.12846	1.13226	1.12834	1.13090	7338	0	0
2022.01.04	18:00:00	1.13092	1.13158	1.12855	1.12947	5344	0	0
2022.01.04	19:00:00	1.12947	1.12962	1.12881	1.12937	1971	0	0
2022.01.04	20:00:00	1.12938	1.12946	1.12794	1.12803	1662	0	0
2022.01.04	21:00:00	1.12803	1.12932	1.12782	1.12878	1972	0	0
2022.01.04	22:00:00	1.12878	1.12896	1.12808	1.12847	1750	0	0
2022.01.04	23:00:00	1.12847	1.12874	1.12810	1.12862	910	0	1
2022.01.05	00:00:00	1.12852	1.12867	1.12808	1.12838	478	0	18
2022.01.05	01:00:00	1.12838	1.12866	1.12817	1.12829	649	0	7
2022.01.05	02:00:00	1.12829	1.12858	1.12765	1.12773	776	0	0
2022.01.05	03:00:00	1.12774	1.12886	1.12774	1.12857	1227	0	0
2022.01.05	04:00:00	1.12857	1.12943	1.12848	1.12919	1043	0	0
2022.01.05	05:00:00	1.12920	1.12968	1.12912	1.12956	655	0	0
2022.01.05	06:00:00	1.12957	1.12958	1.12882	1.12887	938	0	0
2022.01.05	07:00:00	1.12889	1.12946	1.12870	1.12935	712	0	0
2022.01.05	08:00:00	1.12935	1.13013	1.12925	1.12958	968	0	0
2022.01.05	09:00:00	1.12957	1.13026	1.12947	1.12986	2254	0	0
2022.01.05	10:00:00	1.12986	1.13111	1.12965	1.13032	3638	0	0
2022.01.05	11:00:00	1.13032	1.13083	1.12997	1.13060	3175	0	0
2022.01.05	12:00:00	1.13059	1.13140	1.13043	1.13082	3149	0	0
2022.01.05	13:00:00	1.13082	1.13236	1.13064	1.13190	2816	0	0
2022.01.05	14:00:00	1.13190	1.13253	1.13049	1.13079	3709	0	0
2022.01.05	15:00:00	1.13080	1.13286	1.13033	1.13236	6207	0	0
2022.01.05	16:00:00	1.13237	1.13389	1.13209	1.13360	4342	0	0
2022.01.05	17:00:00	1.13359	1.13441	1.13324	1.13373	4860	0	0
2022.01.05	18:00:00	1.13373	1.13395	1.13229	1.13342	3427	0	0
2022.01.05	19:00:00	1.13343	1.13466	1.13334	1.13412	2366	0	0
2022.01.05	20:00:00	1.13408	1.13447	1.13356	1.13366	1467	0	0
2022.01.05	21:00:00	1.13366	1.13390	1.13083	1.13104	7982	0	0
2022.01.05	22:00:00	1.13105	1.13130	1.13018	1.13110	3537	0	0
2022.01.05	23:00:00	1.13109	1.13136	1.13076	1.13135	914	0	1
2022.01.06	00:00:00	1.13111	1.13130	1.13055	1.13079	2765	0	21
2022.01.06	01:00:00	1.13079	1.13138	1.13077	1.13100	780	0	7
2022.01.06	02:00:00	1.13100	1.13130	1.13075	1.13079	774	0	0
2022.01.06	03:00:00	1.13079	1.13187	1.13048	1.13164	1238	0	0
